cpdiv,cpimage,cpcoords,cp1,cp2,cp3,cptabimage,cptab1,cptab2,cpfield,pbdiv,pb1,pb2,pbtab1,pbtab2,pbfield,howto,addinfo
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Security Analyzer,,Audit Checks,,,,Settings,Security,Security Analyzer,Audit Checks,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Security Analyzer,,Search Filesystem and Database,,,,Settings,Security,Security Analyzer,Scanner Check,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Security Analyzer,,Super User Activity,,,,Settings,Security,Security Analyzer,Super User Activity,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Security Analyzer,,Recently Modified Files,,,,Settings,Security,Security Analyzer,Scanner Check,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Security Analyzer,,Recently Modified Settings,,,,Settings,Security,Security Analyzer,Scanner Check,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Security Center,,,,,,Settings,Security,Security Bulletins,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,SharePoint Connector,,,,,,(deprecated),,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,Site Groups,,,,,,Manage,Sites,Site Groups,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,SQL,,,,,,Settings,SQL Console,,,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,SuperUser Accounts,,,,,,Manage,Users,"From the <uicontrol>Show</uicontrol> dropdown, choose <uicontrol>Superusers</uicontrol>.",,,,
div-menuHostAdvanced,scr-menuHostAdvanced.png,,Host,Advanced,User Switcher,,,,,,Manage,Users,"From the ellipses menu for the target account, choose <uicontrol>Login As User</uicontrol>.",,,,
div-menuTools,scr-menuTools.png,"111,1,174,53",Admin,,,,div-menuAdminCommon,,,,,,,,,,
div-menuTools,scr-menuTools.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuTools,scr-menuTools.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuTools,scr-menuTools.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuTools,scr-menuTools.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuTools,scr-menuTools.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
